1,EASY, "What is a class?" (a) the "blueprint" when creating objects (b) An integer (c) size of variable (d) constructor,A
2,EASY, "What is the lowest amount of constructors an object can have?" (a) 1 (b) 0 (c) 2 (d) 3,A
3,EASY, "Which statement is not true in java language? (a) A public member of a class can be accessed in all the packages (b) A private member of a class cannot be accessed by the methods of the same class (c) A private member of a class cannot be accessed from its derived class (d) A protected member of a class can be accessed from its derived class,B
4,EASY, "To prevent any method from overriding we declare the method as: " (a) static (b) const (c) final (d) abstract ,C
5,MEDIUM, "An object is an instance of a _____ ?" (a) method (b) thing (c) class (d) object,C
6,MEDIUM, "Which collection acts like a table of key-value pairs? (a) List (b) Map (c) ArrayList (d) int,B
7,MEDIUM, "What is printed by the following statement? System.out.println("Hello world!\n") (a) Hello World (b) Hello world! (c) Hello world! (d) Hello \nworld!,C
8,MEDIUM, "What is byte code in the context of Java?" (a) The type of code generated by a Java compiler (b) The type of code generated by a Java Virtual Machine (c) It is another name for a Java source file (d) It is the code written within the instance methods of a class,A
9,HARD,"Which collection doesn't allow duplicates?" (a) Set (b) HashMap (c) ArrayList (d) List ,A
10,HARD, "Mark the incorrect statement from the following: " (a) Java is not a language for internet programming (b) In java it is not easy to write C-like so called procedural programs (c) In java language objects have to be manipulated (d) In java language error processing is built into the language,D
11,EASY,Which is the characteristic of an immutable class? (a) Objects of the class cannot change content after creation (b) Objects of the class cannot be parsed (c) The class has all static methods (d) The class has all static final fields,A
12,EASY, "Which of the following is not an interface?" (a) Map (b) SortedMap (c) ArrayList (d) Collection,C
13,MEDIUM, "What was the original name of Java?" (a) WebC (b) Oak (c) C- (d) SunLang,B
14,MEDIUM, What is the output of: System.out.println(1+2+” = “+1+2); ? (a) 12=3 (b) 3=3 (c) 12=12 (d) 3=12,D
15,HARD, "Who invented Java on accident?" (a) Alan Turing (b) Dennis Ritchie (c) James Gosling (d) Bjarne Stroustroup,C